stationNumber,slope,lowBound,hightBound,slopeInt,meanWind,pw1990,pw2017,pwDiff,mw1990,mw1991,mw1992,mw1993,mw1994,mw1995,mw1996,mw1997,mw1998,mw1999,mw2000,mw2001,mw2002,mw2003,mw2004,mw2005,mw2006,mw2007,mw2008,mw2009,mw2010,mw2011,mw2012,mw2013,mw2014,mw2015,mw2016,mw2017
480600-99999,-0.25506294471812135,-0.35391315000592943,-0.15621273943031327,-1,4.214285714285714,270,249,21.000000000000018,7,10,10,7,7,12,3,5,2,2,4,4,6,5,3,4,3,3,2,3,2,1,2,1,1,2,5,2
802590-99999,0.35495347564314284,0.21257026093811981,0.49733669034816586,1,18.678571428571427,10,353,16.99999999999997,22,15,21,14,14,15,14,13,14,14,12,21,18,16,17,19,19,20,19,22,20,20,23,22,21,26,26,26
167420-99999,-0.017788724685275648,-0.15384051164240875,0.11826306227185746,0,47.392857142857146,342,329,13.000000000000005,49,50,47,47,48,44,43,47,46,47,51,50,42,45,47,51,50,50,51,51,50,46,46,50,42,45,47,45
535880-99999,-1.2233169129721062,-1.5528163003063145,-0.8938175256378978,-1,61.785714285714285,304,274,30.000000000000018,75,78,78,85,81,88,80,71,63,58,61,57,57,51,55,56,54,52,51,54,58,49,53,55,52,51,54,53
948820-99999,-0.32758620689655304,-0.4605977853482111,-0.19457462844489498,-1,18.464285714285715,272,323,50.999999999999986,27,24,22,22,23,19,15,18,24,19,17,19,22,17,16,17,18,17,17,22,16,14,18,18,17,18,12,9
317540-99999,0.40695128626163835,0.2519489236228595,0.5619536489004172,1,10.107142857142858,236,226,10.000000000000014,6,5,4,4,6,3,6,6,8,8,18,12,11,10,12,12,11,11,12,12,11,7,7,10,18,20,17,16
116790-99999,-0.0005473453749325619,-0.1500932742105153,0.14899858346065017,0,33.857142857142854,233,265,31.999999999999993,33,33,37,37,38,38,35,33,34,35,32,30,30,29,30,33,34,36,33,31,31,30,32,32,36,40,38,38
535290-99999,0.06048166392994314,-0.1210003138632568,0.24196364172314308,0,26.035714285714285,285,312,26.999999999999996,28,28,27,26,29,29,27,26,26,25,25,25,23,21,21,22,25,23,23,22,20,21,28,31,32,32,33,31
030660-99999,0.0065681444991844695,-0.11698997007033972,0.13012625906870867,0,46.714285714285715,242,240,2.0000000000000284,53,44,47,48,49,46,44,43,49,48,44,44,44,44,47,50,45,49,49,46,43,47,47,48,46,50,45,49
228870-99999,-0.4107827038861588,-0.4887750235586931,-0.33279038421362445,-1,31.892857142857142,232,213,19.000000000000014,37,36,38,36,39,37,34,33,32,33,31,32,34,35,32,33,31,30,30,28,28,31,27,26,26,29,27,28
486570-99999,-0.27285166940340033,-0.3815963981038235,-0.16410694070297716,-1,18.535714285714285,17,297,80.00000000000003,19,20,21,26,25,25,23,21,19,21,19,17,16,18,17,15,17,16,15,15,15,18,17,17,17,16,17,17
948570-99999,-0.4540229885057545,-0.6686876270252042,-0.23935834998630479,-1,43.892857142857146,268,259,9.0,49,48,40,45,48,47,49,45,48,43,45,46,51,49,48,46,46,49,49,48,46,37,35,36,34,34,35,33
911900-22516,-0.14586754241926875,-0.3013553612447428,0.00962027640620533,0,56.107142857142854,49,51,2.0000000000000027,58,59,56,54,59,52,52,57,61,62,60,61,54,56,53,59,56,61,55,53,57,55,59,52,50,51,55,54
603600-99999,-0.05719759168035021,-0.14772253801065727,0.03332735464995684,0,37.32142857142857,346,359,13.000000000000005,39,37,35,36,36,39,38,36,39,42,36,39,38,40,38,39,38,37,35,35,39,37,36,37,37,39,34,34
949680-99999,0.42775041050903473,0.3295607817136117,0.5259400393044578,1,42.892857142857146,304,328,23.999999999999982,34,36,37,41,44,39,41,39,41,39,41,39,42,41,44,46,45,46,44,48,45,46,46,48,44,49,50,46
229390-99999,-0.6934865900383244,-0.8224795724920476,-0.5644936075846011,-1,36.285714285714285,213,204,9.0,45,43,45,41,44,46,42,43,47,41,37,34,36,37,33,37,31,33,35,29,28,31,30,28,29,31,29,31
852440-99999,-0.079091406677615,-0.16689722263043294,0.008714409275202964,0,51.17857142857143,321,329,8.00000000000001,52,51,51,53,52,53,49,53,51,50,51,51,56,51,50,52,50,54,49,51,55,52,51,49,49,50,48,49
948700-99999,-0.09168035030103527,-0.193959207364526,0.010598506762455426,0,45.964285714285715,313,288,25.00000000000002,54,50,44,44,46,46,48,45,45,45,46,45,48,46,46,46,44,47,44,45,44,43,46,47,45,46,48,44
835380-99999,-0.43431855500821803,-0.5893026991662329,-0.27933441085020316,-1,12.892857142857142,55,0,55.0,17,17,17,15,17,14,14,17,15,17,14,13,14,14,15,14,14,16,13,14,12,12,12,12,11,1,0,0
718620-99999,-0.050629447181168186,-0.19897980360132828,0.0977209092389919,0,47.17857142857143,267,278,11.000000000000028,52,51,48,46,51,49,45,47,41,45,43,46,49,49,50,48,46,51,48,45,42,45,45,43,45,49,51,51
865650-99999,-0.07060755336617039,-0.22915467948082113,0.08793957274848035,0,26.285714285714285,75,44,31.000000000000007,33,31,32,25,23,26,27,26,23,26,26,26,22,22,25,21,24,29,31,32,27,26,25,24,24,23,29,28
167430-99999,0.36152162014232314,0.03752405860232422,0.6855191816823221,1,55.535714285714285,27,11,16.0,60,57,58,53,48,48,53,53,44,46,54,47,43,51,61,65,57,57,59,60,56,59,61,64,63,70,65,43
917540-99999,-0.64285714285716,-0.875995505704517,-0.40971878000980305,-1,25.321428571428573,90,51,39.0,25,23,28,37,39,34,32,34,32,25,25,27,27,28,28,27,25,22,22,24,27,23,25,16,11,18,18,7
852070-99999,-0.3095238095238124,-0.43522564757576365,-0.18382197147186116,-1,25.892857142857142,331,320,11.000000000000028,32,32,29,33,28,31,28,30,24,20,22,24,27,23,27,26,27,28,25,23,25,23,26,23,24,24,21,20
307310-99999,-0.02900930487137285,-0.12896225651102217,0.07094364676827648,0,21.071428571428573,255,258,2.999999999999966,23,21,21,21,22,24,25,21,21,21,20,21,19,19,20,19,21,23,21,19,20,18,20,18,19,23,26,24
823320-99999,0.073617952928301,-0.058776544650245344,0.20601245050684736,0,17.464285714285715,80,102,22.000000000000007,19,20,18,18,15,17,16,20,18,10,15,21,19,14,14,16,16,17,12,18,19,19,18,18,19,22,21,20
261150-99999,-0.4334975369458183,-0.5443287965057475,-0.32266627738588904,-1,36.142857142857146,259,233,26.00000000000001,43,42,43,42,38,42,35,39,40,38,40,38,34,36,34,36,32,34,37,31,29,37,33,31,33,35,29,31
034140-99999,-0.051450465243566446,-0.1525981493690871,0.04969721888195423,0,41.92857142857143,245,236,9.0,46,40,41,41,44,42,41,41,45,44,44,41,43,40,41,42,42,42,44,41,36,44,40,42,41,45,39,42
946760-99999,0.11685823754789543,-0.13016316071308404,0.3638796358088749,0,30.964285714285715,249,141,107.99999999999997,31,28,29,30,36,33,32,35,26,33,35,30,26,22,18,24,30,36,33,41,30,25,29,36,35,32,39,33
507740-99999,-0.006020799124242915,-0.1888132798046072,0.17677168155612136,0,19.714285714285715,255,269,13.999999999999995,25,23,20,21,21,19,19,18,21,21,19,20,18,20,20,16,16,16,16,15,17,13,13,24,24,24,26,27
689200-99999,-1.9116037219485857,-2.3216923442360256,-1.5015150996611462,-1,54.535714285714285,211,248,36.99999999999999,69,67,78,70,71,72,68,67,66,78,74,74,71,70,61,47,37,36,36,37,37,36,35,36,35,33,33,33
878600-99999,-0.22879036672139852,-0.41760187711240104,-0.039978856330395995,-1,60.642857142857146,272,288,15.999999999999972,71,64,61,62,60,62,67,57,62,57,58,60,59,64,59,58,62,64,59,66,65,58,61,59,58,58,47,60
509150-99999,-0.04570333880678559,-0.12132436274046468,0.029917685126893495,0,27.821428571428573,286,289,2.999999999999966,31,28,28,28,27,28,27,29,29,29,29,29,28,27,30,23,26,27,28,28,28,25,26,28,27,28,28,30
478210-99999,-0.4904214559387029,-0.6759579637944145,-0.30488494808299127,-1,45.642857142857146,270,258,12.000000000000018,54,55,51,54,45,46,48,48,45,50,46,45,46,47,45,44,45,45,42,45,48,47,46,47,46,33,34,31
619880-99999,0.5298303229337742,0.14182394135178916,0.9178367045157592,1,57.142857142857146,99,95,3.999999999999993,45,36,42,74,75,55,54,49,56,48,54,49,53,52,48,63,61,65,60,59,61,63,62,59,64,66,65,62
330880-99999,0.03010399562124602,-0.2492258987324468,0.3094338899749388,0,20.428571428571427,255,252,3.000000000000017,30,26,28,26,21,17,16,21,21,16,15,16,18,16,15,14,15,17,17,13,12,20,24,27,25,30,30,26
958530-99999,-0.4633278598795853,-1.1652076175127468,0.23855189775357616,0,26.392857142857142,248,143,104.99999999999999,39,45,42,35,22,17,20,21,23,48,66,28,14,13,14,18,19,18,15,11,17,18,25,25,45,56,18,7
724640-93058,-0.06704980842911507,-0.21967637950947871,0.08557676265124858,0,36.17857142857143,14,354,19.999999999999993,43,44,44,32,32,31,35,34,34,36,36,35,38,37,34,35,38,35,36,35,34,36,37,36,38,35,37,36
480570-99999,-0.8002189381499895,-1.2146342046869594,-0.3858036716130196,-1,12.214285714285714,146,192,46.000000000000014,17,17,27,43,48,14,18,13,9,13,10,6,8,5,6,5,5,6,8,6,6,6,6,7,8,9,9,7
415300-99999,0.459222769567601,0.14848323018755766,0.7699623089476444,1,17.571428571428573,2,22,20.0,8,9,10,11,11,10,12,12,12,18,19,20,25,30,24,18,18,24,29,23,23,22,11,7,7,25,26,28
702960-26410,-0.3459222769567647,-0.4808927484394042,-0.21095180547412515,-1,20.142857142857142,68,94,26.0,25,32,30,26,20,20,18,24,21,21,20,20,21,19,19,18,18,17,17,15,17,17,17,17,18,19,19,19
417150-99999,-0.48823207443897904,-0.5773828395271917,-0.39908130935076636,-1,12.428571428571429,104,74,30.000000000000004,18,20,23,16,14,15,17,14,13,17,14,13,12,14,10,11,12,11,12,11,12,11,9,7,7,6,5,4
200690-99999,0.16310892172961067,0.011547561711614751,0.3146702817476066,1,62.57142857142857,338,71,93.00000000000003,57,65,58,65,58,65,57,66,57,62,64,60,60,60,61,63,65,67,67,65,65,64,68,59,61,63,66,64
134620-99999,-0.1715927750410552,-0.293219944898919,-0.0499656051831914,-1,25.178571428571427,13,22,8.999999999999998,25,29,27,26,25,27,27,29,28,28,26,28,25,31,26,23,21,22,21,21,20,22,22,24,24,27,26,25
108660-99999,0.027914614121507614,-0.07686680374179948,0.13269603198481472,0,34.57142857142857,248,257,9.0,30,30,34,37,37,38,33,34,36,34,34,35,36,33,35,33,34,40,36,35,36,34,35,34,32,34,33,36
285860-99999,0.09906951286261789,-0.03294245434442919,0.23108148006966497,0,30.071428571428573,223,216,6.9999999999999964,29,26,28,30,28,30,29,35,32,34,30,30,29,28,30,27,30,32,27,25,28,28,28,35,35,34,33,32
404050-99999,0.2588943623426476,0.10421908033287691,0.41356964435241833,1,30.142857142857142,29,45,15.999999999999996,33,27,26,19,26,29,27,27,27,25,28,36,33,35,33,33,32,32,30,31,27,32,31,33,33,33,31,35
386830-99999,0.059660645867542106,-0.05365303930573012,0.17297433104081433,0,36.42857142857143,4,356,8.000000000000025,34,35,37,36,38,35,37,37,36,35,36,37,36,37,38,35,39,39,38,33,30,34,33,37,41,40,38,39
724500-03928,-0.1666666666666638,-0.2767392304339662,-0.05659410289936141,-1,51.535714285714285,181,150,31.000000000000007,60,57,55,51,52,50,55,50,51,52,52,51,51,49,51,49,51,48,52,50,50,52,49,50,54,49,50,52
546020-99999,0.17159277504105325,0.025216077854543384,0.3179694722275631,1,19.607142857142858,43,151,108.0,17,17,17,18,18,18,16,22,24,23,21,21,21,12,18,18,17,17,16,17,17,24,24,25,23,23,23,22
377350-99999,-0.0700602079912401,-0.20913816700590837,0.06901775102342816,0,20.357142857142858,330,283,46.99999999999998,25,27,22,24,18,18,20,18,20,19,19,23,18,17,20,24,22,19,17,17,17,17,18,22,25,23,20,21
431850-99999,-0.4567597153804055,-0.6588038549782231,-0.2547155757825878,-1,19.178571428571427,206,171,35.000000000000014,33,31,27,27,28,21,21,23,17,13,12,12,15,17,20,19,19,18,19,21,16,14,15,15,16,15,16,17
274020-99999,-0.5339354132457647,-0.6130655211861586,-0.45480530530537067,-1,23.75,233,166,67.0,32,31,30,28,30,29,26,28,28,24,25,24,24,23,23,25,23,24,23,21,18,20,19,15,15,20,19,18
470900-99999,-0.36398467432950626,-0.45010298008592575,-0.2778663685730868,-1,25.142857142857142,300,293,7.000000000000022,31,30,29,30,28,28,26,27,29,31,24,22,23,23,26,26,25,25,24,25,24,22,23,23,22,21,19,18
718030-99999,0.09332238642583746,-0.0447074912184896,0.23135226407016451,0,54.67857142857143,252,257,4.999999999999995,55,48,57,59,60,53,53,52,53,54,54,52,56,55,54,51,53,53,51,54,53,54,57,60,58,59,56,57
726410-14837,-0.5076628352490434,-0.6671093542050367,-0.34821631629305017,-1,35.607142857142854,240,240,0.0,50,48,45,43,39,42,38,34,34,34,35,33,35,34,34,32,34,34,32,31,29,32,31,31,34,33,33,33
702310-26510,-0.5134099616858273,-0.7018978498226746,-0.32492207354898006,-1,19.5,262,257,4.999999999999995,31,34,31,27,29,22,23,21,19,15,16,17,17,19,16,16,16,13,15,17,15,15,15,16,17,18,17,19
715020-99999,0.09578544061302613,-0.13579883266629014,0.3273697138923424,0,57.714285714285715,115,45,70.0,54,48,43,56,65,61,61,59,65,62,57,53,59,62,57,55,58,65,60,56,61,56,55,59,59,57,55,58
874670-99999,0.005747126436784017,-0.24465194994759945,0.2561462028211675,0,33.964285714285715,88,100,12.000000000000004,37,35,36,40,35,35,32,39,34,33,29,29,29,30,31,31,32,34,29,29,26,34,48,43,43,32,29,37
956280-99999,0.18746579091406984,0.08297179604008059,0.2919597857880591,1,20.964285714285715,289,8,79.00000000000003,19,20,20,19,18,20,20,18,18,19,20,19,21,20,19,18,24,29,25,24,19,22,21,24,23,22,23,23
612700-99999,-0.3147235905856709,-0.5629030790881463,-0.06654410208319553,-1,13.142857142857142,13,20,6.999999999999999,10,9,19,33,19,16,16,23,19,18,13,8,8,8,7,9,8,13,9,11,12,13,13,11,11,10,11,11
319600-99999,0.2367268746579283,-0.24809456630139826,0.7215483156172549,0,47.535714285714285,42,307,95.0,63,62,61,51,43,39,38,40,39,45,39,42,38,41,37,38,35,34,34,56,54,55,60,59,55,58,58,57
962530-99999,0.24521072796935017,0.09634512567354386,0.3940763302651565,1,19.5,242,278,36.0,14,18,16,16,24,20,15,22,16,21,18,17,17,19,18,18,25,18,18,17,15,20,21,21,24,26,24,28
876880-99999,-0.001642036124795243,-0.13765937631791364,0.13437530406832315,0,38.0,316,291,24.999999999999975,38,36,37,34,36,41,42,39,39,36,36,41,37,39,36,36,36,41,40,43,41,44,38,38,36,35,33,36
166670-99999,-0.5218938149972672,-0.7368218295410002,-0.30696580045353417,-1,36.964285714285715,351,337,13.999999999999995,48,48,48,46,47,43,39,40,39,28,31,39,29,31,37,35,35,36,35,33,37,35,33,31,29,30,37,36
678810-99999,-0.5574712643678285,-0.7156178479868316,-0.3993246807488253,-1,16.535714285714285,127,134,6.9999999999999964,19,19,19,21,21,20,20,19,22,22,20,22,22,22,20,21,19,16,16,15,13,10,10,7,7,6,9,6
444620-99999,-0.22194854953475956,-0.45049749167304665,0.006600392603527544,0,8.75,62,96,34.00000000000001,12,14,17,14,10,14,10,11,4,6,5,12,3,9,4,3,6,24,7,5,8,7,3,6,3,5,11,12
060600-99999,-0.534209085933236,-0.8747845003383071,-0.1936336715281649,-1,44.857142857142854,227,238,11.000000000000004,47,57,82,46,49,47,47,47,46,41,43,40,42,39,41,42,40,44,42,40,40,43,42,41,41,45,40,42
476740-99999,0.0725232621784416,-0.0503147387179529,0.1953612630748361,0,33.25,350,331,18.99999999999999,39,36,35,36,29,30,29,30,31,32,32,32,33,34,34,31,31,32,32,33,33,33,33,35,37,36,36,37
161400-99999,0.2613574165298246,0.0796237128050793,0.44309112025456987,1,26.178571428571427,177,208,31.000000000000007,12,12,26,25,24,24,27,30,29,29,27,28,27,29,27,26,26,28,30,29,27,27,28,28,27,26,27,28
135920-99999,0.14504652435687193,-0.05618943483972366,0.3462824835534675,0,19.285714285714285,99,109,10.000000000000002,18,18,21,21,19,21,21,20,19,18,18,18,16,16,19,18,12,16,15,14,16,13,19,28,28,25,26,27
404000-99999,-0.32430213464696467,-0.4724699122083522,-0.17613435708557715,-1,42.964285714285715,303,310,7.000000000000022,50,50,48,48,45,46,51,46,43,45,43,43,39,40,41,40,41,38,35,40,38,40,38,43,42,43,43,44
064580-99999,0.09250136836344242,-0.17254702396553645,0.3575497606924213,0,41.857142857142854,239,229,9.999999999999988,45,38,42,43,46,42,29,21,42,46,47,44,47,42,43,41,45,44,46,42,41,44,43,43,43,45,42,36
724926-23258,-0.16338259441708242,-0.288570976666325,-0.03819421216783986,-1,30.464285714285715,327,322,4.999999999999995,29,29,31,32,32,32,35,42,31,31,30,32,31,31,32,29,29,30,29,28,28,26,29,28,29,29,29,30
442590-99999,0.28489326765189515,0.15407727668959337,0.41570925861419694,1,34.392857142857146,320,289,31.000000000000007,34,34,31,32,29,34,34,33,30,30,32,33,33,30,29,37,31,38,39,39,39,38,37,36,34,36,40,41
619720-99999,-0.3579638752052658,-0.49836106785533013,-0.21756668255520145,-1,43.714285714285715,158,151,6.9999999999999964,42,44,49,49,55,50,46,46,47,45,43,45,43,47,43,43,38,41,45,43,42,38,43,43,39,38,37,40
619980-99999,0.012315270935960076,-0.10045500061245392,0.1250855424843741,0,95.75,257,283,26.00000000000001,96,95,91,96,98,97,91,96,99,95,95,96,97,97,98,98,96,95,97,94,97,90,99,95,98,95,97,93
478130-99999,0.1220580186097441,0.01682686914518236,0.22728916807430585,1,30.285714285714285,343,341,1.9999999999999774,28,32,26,26,26,26,32,33,33,32,32,31,30,30,29,28,28,29,31,32,32,32,33,33,33,30,30,31
073300-99999,-0.27613574165298943,-0.3535453499437086,-0.19872613336227024,-1,38.607142857142854,205,242,37.000000000000014,39,42,39,42,40,41,41,42,42,40,39,42,42,39,39,38,40,40,38,36,36,34,36,35,34,36,35,34
131730-99999,0.021072796934867855,-0.09103412832849943,0.13317972219823515,0,23.678571428571427,216,231,14.999999999999982,25,24,26,26,24,24,26,25,22,23,24,22,21,20,23,20,21,20,22,22,23,22,25,26,28,25,26,28
165640-99999,-0.47290640394089856,-0.8363250515807569,-0.10948775630104024,-1,74.14285714285714,296,264,31.999999999999993,75,75,75,84,68,69,94,75,80,85,77,82,82,73,72,72,74,81,73,69,77,68,70,68,55,52,74,77
471460-99999,0.18992884510126024,0.030008305342024644,0.3498493848604958,1,17.142857142857142,243,267,23.999999999999982,13,12,13,13,13,13,12,12,18,17,25,24,20,18,20,21,20,19,18,19,20,19,19,18,14,15,18,17
949800-99999,0.34756431308155483,0.10325920025917865,0.591869425903931,1,64.28571428571429,273,285,11.999999999999966,54,52,48,71,69,64,66,62,67,62,60,55,68,66,71,70,66,63,65,66,68,65,65,68,66,67,70,66
859300-99999,-0.4655172413793045,-0.9418676552026554,0.010833172444046357,0,103.03571428571429,313,348,34.99999999999996,122,109,91,97,94,114,125,106,107,117,106,106,90,107,107,106,83,96,97,111,109,102,93,114,102,88,92,94
429090-99999,-0.656267104542979,-0.9271570306539472,-0.38537717843201086,-1,37.92857142857143,288,266,22.000000000000007,43,36,40,43,47,43,40,42,40,43,42,46,41,42,42,44,45,40,43,38,29,33,27,40,29,24,22,18
022590-99999,0.006841817186645449,-0.0709423559119889,0.0846259902852798,0,30.321428571428573,304,314,9.999999999999988,31,30,32,30,29,31,29,33,29,29,32,32,28,29,27,33,31,32,29,28,30,30,31,29,30,32,31,32
471350-99999,0.07142857142857142,-0.05213220279276862,0.19498934564991147,0,25.535714285714285,266,272,6.000000000000034,23,28,26,24,24,24,27,24,21,23,31,28,30,23,24,26,21,21,25,27,26,28,28,27,26,26,26,28
039620-99999,0.3015873015873127,-0.0007538356353234965,0.6039284388099488,0,46.92857142857143,237,228,9.0,51,49,49,45,49,45,34,23,34,48,46,43,48,49,51,50,50,50,52,51,43,51,49,52,49,55,49,49
618180-99999,-0.6830870279146233,-1.0546775336581558,-0.3114965221710908,-1,20.571428571428573,155,277,122.00000000000001,30,18,19,21,22,23,28,41,48,38,31,21,21,19,17,15,17,15,12,15,12,10,13,12,14,14,14,16
072220-99999,-0.3316912972085453,-0.40062546112930975,-0.26275713328778083,-1,36.642857142857146,242,260,18.0,39,40,38,39,40,40,40,40,41,39,38,39,41,36,37,36,36,36,35,33,33,32,33,33,33,34,33,32
474130-99999,-0.04077723043240192,-0.07974224432462165,-0.001812216540182189,-1,33.67857142857143,193,180,13.000000000000005,36,34,33,34,34,33,34,34,34,35,33,35,34,34,34,33,33,32,33,34,34,32,33,34,34,33,34,33
976300-99999,0.24466338259442125,0.13174458918353815,0.35758217600530434,1,21.214285714285715,191,38,153.0,19,21,16,18,19,17,17,21,21,20,18,17,17,24,24,24,23,22,23,25,24,26,27,22,24,23,20,22
766534-99999,0.23836891078270928,-0.10535949836102021,0.5820973199264388,0,31.821428571428573,229,237,8.00000000000001,31,35,48,28,28,12,15,32,31,42,26,38,34,29,27,30,28,27,27,35,35,34,33,39,36,36,38,37
787920-99999,-0.1360153256704987,-0.35965797451931714,0.08762732317831973,0,16.178571428571427,334,349,15.000000000000037,19,17,16,13,13,12,12,19,22,20,21,23,25,24,21,16,13,12,13,13,14,13,11,9,10,11,20,21
330270-99999,-0.2074438970990719,-0.29169763087819955,-0.12319016331994424,-1,21.642857142857142,243,251,8.00000000000001,25,23,24,25,25,26,22,22,23,24,23,23,23,22,21,19,19,20,20,17,18,18,18,20,21,21,22,22
655990-99999,nan,nan,nan,0,43.208333333333336,209.0,152.0,56.99999999999999,22.0,23.0,24.0,74.0,89.0,31.0,nan,88.0,27.0,0.0,0.0,nan,82.0,10.0,nan,0.0,70.0,nan,386.0,11.0,21.0,28.0,20.0,0.0,18.0,2.0,0.0,11.0
762560-99999,-0.4165298303229361,-0.7202205852344155,-0.11283907541145671,-1,25.928571428571427,250,226,24.000000000000007,35,37,30,29,34,24,27,26,23,27,39,43,28,21,19,19,21,22,20,22,12,18,16,26,28,27,28,25
540940-99999,0.11001642036125031,-0.10676114549808874,0.32679398622058936,0,22.357142857142858,256,261,4.999999999999995,22,24,22,22,24,24,24,22,23,25,20,20,21,19,23,18,19,19,19,17,19,18,17,19,29,30,32,35
943900-99999,-0.4693486590038392,-0.561582236303683,-0.3771150817039954,-1,53.17857142857143,125,104,21.000000000000004,59,57,61,59,58,57,59,56,55,56,55,53,52,52,52,54,51,48,52,51,51,51,52,50,46,50,50,42
276790-99999,0.08511220580186546,-0.10344831339381144,0.27367272499754236,0,33.535714285714285,239,234,4.999999999999995,36,32,31,30,36,32,29,38,40,34,31,32,38,34,32,33,34,28,28,25,29,34,34,36,36,40,37,40
620080-99999,0.3464696223316948,0.1489668089825879,0.5439724356808018,1,41.92857142857143,101,265,164.0,36,33,40,38,41,41,38,37,38,38,37,41,40,41,40,47,49,51,52,51,48,43,38,44,44,40,45,43
682340-99999,-0.3516694033935505,-0.7974537820619786,0.09411497527487755,0,37.67857142857143,57,64,6.9999999999999964,38,35,41,37,40,38,39,36,35,39,38,42,43,41,43,46,45,45,41,40,40,39,42,40,38,43,8,3
531920-99999,0.23316912972086046,0.011766703099262366,0.45457155634245855,1,31.357142857142858,291,307,15.999999999999972,32,31,26,29,30,31,32,31,30,30,29,30,29,26,29,33,33,31,34,33,34,28,28,29,28,28,47,47
266950-99999,-0.01724137931034625,-0.14005163350847527,0.10556887488778277,0,28.178571428571427,236,229,7.000000000000022,27,26,28,33,30,32,28,32,29,27,25,24,26,28,27,31,29,27,29,26,26,28,27,25,25,32,31,31
283830-99999,-0.19047619047619038,-0.3140626717141865,-0.06688970923819426,-1,30.0,208,227,18.99999999999999,36,31,34,35,35,32,27,30,28,27,28,33,33,28,31,28,30,31,30,27,28,26,24,29,31,31,27,30
360220-99999,-0.24137931034482937,-0.3150275746013086,-0.16773104608835016,-1,36.857142857142854,206,232,26.00000000000001,42,40,38,40,37,38,38,41,40,39,37,39,39,35,37,34,35,35,34,34,37,35,34,35,35,37,34,33
719050-99999,-0.9304871373837076,-1.2727544491379632,-0.588219825629452,-1,41.42857142857143,226,260,34.0,47,49,46,50,50,43,45,46,48,49,50,49,49,50,52,48,49,48,49,23,23,25,30,28,30,28,28,28
836890-99999,0.35522714833059654,0.04074361229098272,0.6697106843702103,1,20.642857142857142,61,68,7.00000000000001,10,21,16,14,16,16,34,19,22,20,23,24,16,19,0,26,26,14,15,14,25,27,28,27,27,26,26,27
832080-99999,0.27969348659003845,0.11593072380997366,0.44345624937010325,1,29.642857142857142,55,13,42.0,21,26,18,28,28,25,28,29,27,29,32,31,35,36,36,34,30,31,29,30,31,31,29,30,29,29,33,35
676630-99999,-0.022988505747118693,-0.32025339306518197,0.2742763815709446,0,25.357142857142858,97,89,7.999999999999998,35,32,30,35,27,21,21,18,24,24,25,19,20,30,23,24,19,24,23,16,15,20,32,30,24,29,33,37
268320-99999,-0.379857690202521,-0.4709243380759368,-0.28879104232910524,-1,25.428571428571427,261,237,23.999999999999982,33,30,30,31,30,29,27,27,29,29,28,26,26,24,23,22,21,24,23,20,21,23,21,22,22,23,24,24
872220-99999,-0.18609742747674007,-0.3884086789241998,0.016213823970719632,0,51.142857142857146,37,18,19.0,54,46,55,58,55,54,57,56,57,50,52,52,51,50,52,44,43,43,41,50,52,49,54,52,51,51,50,53
800940-99999,-0.010673234811165638,-0.13757196286720405,0.11622549324487277,0,22.75,314,325,10.999999999999977,23,17,23,24,23,22,20,25,26,26,25,29,25,22,21,22,21,22,20,23,21,18,20,22,23,24,26,24
071680-99999,-0.31636562671045965,-0.3974948257814227,-0.2352364276394966,-1,37.57142857142857,226,236,10.000000000000014,41,39,40,41,40,41,39,38,43,42,40,39,40,36,38,35,37,39,38,36,34,33,36,33,34,35,32,33
543740-99999,0.3708264915161561,0.25945678300042685,0.48219620003188535,1,12.107142857142858,298,320,22.000000000000007,12,11,10,8,9,9,8,12,4,10,9,9,10,8,10,13,13,12,13,13,15,15,15,17,19,18,18,19
122050-99999,0.018609742747676045,-0.09018970371944743,0.12740918921479952,0,35.714285714285715,231,224,6.999999999999972,38,35,37,37,37,32,30,34,38,35,34,34,34,39,40,38,34,37,36,34,34,36,38,36,36,38,34,35
471330-99999,0.029830322933773246,-0.09289824030139686,0.15255888616894336,0,16.535714285714285,269,277,8.00000000000001,18,15,16,16,17,16,15,12,12,11,19,20,21,21,14,18,18,18,18,18,18,18,18,16,15,15,15,15
404390-99999,0.015325670498081978,-0.12955927147646087,0.16021061247262483,0,37.642857142857146,269,259,9.999999999999988,34,36,37,35,32,39,35,41,44,45,40,39,41,39,38,36,37,34,37,35,39,36,36,36,37,37,38,41
485520-99999,0.09304871373837131,0.005132767049624218,0.1809646604271184,1,7.214285714285714,213,66,147.00000000000003,7,5,4,4,5,6,5,5,6,11,10,11,9,8,9,8,7,8,6,6,6,8,9,7,9,7,9,7
605600-99999,-0.1546250684181694,-0.35579914426772896,0.04654900743139018,0,27.392857142857142,292,328,36.0,35,37,33,30,28,18,23,30,32,30,24,26,29,24,24,24,24,26,25,28,28,21,24,31,30,31,28,24
037663-99999,-0.4759168035030121,-0.6886673638507074,-0.2631662431553168,-1,48.107142857142854,225,233,8.00000000000001,61,55,54,56,57,56,57,53,48,49,47,44,45,41,40,42,42,44,47,43,41,46,44,45,44,50,49,47
103210-99999,0.029830322933776632,-0.27056266842677534,0.3302233142943286,0,37.32142857142857,238,242,4.000000000000005,43,42,42,45,41,37,35,35,37,20,20,35,39,35,37,37,38,39,39,36,36,40,39,40,32,46,33,47
